nummer,datum,inhoud,folio nr,vervolg nr,bron,bijzonderheden
10000001,1562,"schout en schepenen van Tetrode eligeren Florijs Woutersz, Jan Pietersz, Jan Gerytsz en Claes Bartsz tot taxateurs van de 10e penning. Hierna begint het polder van Aelbertsberge van de Velserban af, alsoe voerts suyt aan tot an den Sijelwech komende",fol 1,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,"taxateurs: Floris Woutersz, Jan Gerytsz, Jan Pietersz, Claes Baertsz, bij mij Cornelis Jansz, schout van Tetrode. N.B. eygen = eigendom; bruyct = huurt"
10000002,1562,"Wouter Florisz gebruyct achter t huys te Brederode een sate van 6 morgen geestland, hoert toe Aris Michielsz, coemen tot Haerlem, om 23 gld",fol 1 ,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000003,1562,"Vreedrick Fhilpsz zijn eigen woning, daeran 4 morgen 4 ½ hont, op 15 gld",fol 1 ,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000004,1562,"Floris Woutersz gebruikt daeran zijn eigen woning en land, 5 morgen 4 hont, op 21 gld",fol 1 ,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000005,1562,"Willem Snel daeran een sate van 3 morgen ½ hont, hoort toe Balich van Paneren [van Paenderen] tot Haerlem, om 31 g",fol 1 ,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000006,1562,"Jan Pietersz zijn eigen zate daeran, 5 ½ morgen, op 42 gld",fol 1 ,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000007,1562,"Jan Willemsz daeran een zate van 6 morgen, waaronder 2 morgen bogaertlant, hoert toe de schout van Wieringen, om 75 gld",fol 1v,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000008,1562,"de schout van Wieringen woninge ende boogaert, groot 2 morgen, op 47 g 10 st",fol 1v,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000009,1562,"Aechte Claesdochter, weduwe Aris Claesz, haar eigen sate groot 5 morgen, op 35 g",fol 1v,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000010,1562,"Fytge Claes Stollen [Claes Claesz Stol] weduwe gebruikt daeran haer eigen sate, groot 6 morgen 4 hont, gezet op 37 gld",fol 1v,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
10000011,1562,"Florijs Pieter Jansz gebruikt daer an zijn eigen zate, groot 5 ½ morgen, is gezet op 28 gld",fol 1v,Aelbrechtsberg,A.R.A. Staten van Holland vóór 1572 Inv no 1451/10e penning ,
